GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
2381532,MSRP020W,92,member,1000,SUCCESS,1,EMI,UPI,2022-11-01,2381532T1667279047440,,2022-11-01,2022-11-01,,SIPLY,no,
2380845,MPG020W,93,member,2000,SUCCESS,10,EMI,DIVIDEND-ADJUSTMENT-ADV,2022-11-01,2380845T1667279041461,DIVIDEND-ADJUSTMENT-ADV,2022-11-01,2022-11-01,Harish C,OFFLINE,no,
2380845,MPG020W,93,member,938,SUCCESS,9,EMI,DIVIDEND-ADJUSTMENT-ADV,2022-11-01,2380845T1667279041461,DIVIDEND-ADJUSTMENT-ADV,2022-11-01,2022-11-01,Harish C,OFFLINE,no,
2381510,MSRP020W,,removed,1000,SUCCESS,1,EMI,UPI,2022-11-01,2381510T1667278950711,,2022-11-01,2022-11-01,,SIPLY,no,
1814549,MSRP008W,84,member,1000,SUCCESS,3,EMI,UPI,2022-11-01,1814549M1667278778867,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1265090,MPB008T,196,member,4000,SUCCESS,6,EMI,UPI,2022-11-01,1265090M1667278726605,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1265084,MPB008T,195,member,4000,SUCCESS,6,EMI,UPI,2022-11-01,1265084M1667278674960,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1265054,MPB008T,194,member,4000,SUCCESS,6,EMI,UPI,2022-11-01,1265054M1667278610085,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1717159,MSRG029W,75,member,1743,SUCCESS,4,EMI,UPI,2022-11-01,1717159T1667278610042,,2022-11-01,2022-11-01,,SIPLY,no,
1717159,MSRG029W,75,member,118,SUCCESS,4,Late payment fee,UPI,2022-11-01,1717159T1667278610042,,2022-11-01,2022-11-01,,SIPLY,no,
1717159,MSRG029W,75,member,4,SUCCESS,4,Interest on delayed EMI,UPI,2022-11-01,1717159T1667278610042,,2022-11-01,2022-11-01,,SIPLY,no,
1717159,MSRG029W,75,member,135,SUCCESS,3,EMI,UPI,2022-11-01,1717159T1667278610042,,2022-11-01,2022-11-01,,SIPLY,no,
2381357,MSRG036W,63,member,2000,SUCCESS,1,EMI,UPI,2022-11-01,2381357T1667278444305,,2022-11-01,2022-11-01,,SIPLY,no,
2003653,MSRP013W,71,member,1000,SUCCESS,2,EMI,UPI,2022-11-01,2003653T1667278371368,,2022-11-01,2022-11-01,,SIPLY,no,
1873975,MSRP010W,30,member,1000,SUCCESS,3,EMI,UPI,2022-11-01,1873975T1667278314433,,2022-11-01,2022-11-01,,SIPLY,no,
